Date,year,Site_location,LONGITUDE,LATITUDE,Region,Site_number,Clade,Species_name,Collection_no,Plant_no,LMA,Canopy_area,LWratio,FWC
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,1,0.005769231,.,2.5,7.333333333
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,2,0.010869565,.,2.2,4.7
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,3,0.0125,.,2.666666667,2.333333333
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,4,0.009433962,.,1.75,3.666666667
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,5,0.012195122,.,4,2
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,6,0.013513514,.,3.5,3.2
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,7,0.024,.,3.5,2.333333333
8/3/2011,2011,Prince_Albert:_Bushman_Valley,22.04914,-33.25596,Swartberg,PL_1027,B,abrotanifolium,44,8,0.014705882,.,3,5
7/27/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_4,20.53583333,-34.37722222,De_Hoop,PL_1009,C2,alchemilloides,17,1,0.003392857,153.1526419,1.928571429,5.076923077
7/27/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_4,20.53583333,-34.37722222,De_Hoop,PL_1009,C2,alchemilloides,17,2,0.00204978,70.68583471,1.533333333,5.5
7/27/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_4,20.53583333,-34.37722222,De_Hoop,PL_1009,C2,alchemilloides,17,3,0.002724796,433.5397862,1.28,6.333333333
7/27/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_4,20.53583333,-34.37722222,De_Hoop,PL_1009,C2,alchemilloides,17,4,0.003529412,51.83627878,1.625,5.547619048
7/27/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_4,20.53583333,-34.37722222,De_Hoop,PL_1009,C2,alchemilloides,17,5,0.003190883,293.7389131,1.28,6.618421053
7/27/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_4,20.53583333,-34.37722222,De_Hoop,PL_1009,C2,alchemilloides,17,6,0.001558442,176.7145868,1.44,8.027777778
7/27/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_4,20.53583333,-34.37722222,De_Hoop,PL_1009,C2,alchemilloides,17,7,0.003270646,223.8384766,1.133333333,5.980769231
7/27/2011,2011,De_Hoop_NR:_Potberg_-_Klipspringer_Trail_4,20.53583333,-34.37722222,De_Hoop,PL_1009,C2,alchemilloides,17,8,0.002650602,94.24777961,1.318181818,6.15625
.,2012,De Hoop NR: Potberg - Klipspringer Trail 2,20.53601,-34.37714,Cape_Nature,234,.,alchemilloides,1733,1733,0.002944507,469.6681017,1.666666667,5.23255814
.,2012,De Hoop NR: Potberg - Klipspringer Trail 4,20.53601,-34.37714,Cape_Nature,234,.,alchemilloides,1734,1734,0.003101604,282.7433388,1.463669629,5.441860465
.,2012,De Hoop NR: Potberg - Klipspringer Trail 4,20.53601,-34.37714,Cape_Nature,234,.,alchemilloides,1735,1735,0.002524383,329.8672286,1.85854414,6.152777778
.,2012,De Hoop NR: Potberg - Klipspringer Trail 4,20.53601,-34.37714,Cape_Nature,234,.,alchemilloides,1736,1736,0.002547355,527.7875658,2.121212121,6.303571429
8/20/2011,2011,Cederberg_NR:_Pakhuis_Pass_-_Leipoldt's_grave,18.98333333,-32.13333333,Cedarberg,PL_1063,A2a,alternans,101,1,.,.,11,2.909090909
8/20/2011,2011,Cederberg_NR:_Pakhuis_Pass_-_Leipoldt's_grave,18.98333333,-32.13333333,Cedarberg,PL_1063,A2a,alternans,101,2,.,.,12,4
8/20/2011,2011,Cederberg_NR:_Pakhuis_Pass_-_Leipoldt's_grave,18.98333333,-32.13333333,Cedarberg,PL_1063,A2a,alternans,101,3,.,.,19,5.2
8/20/2011,2011,Cederberg_NR:_Pakhuis_Pass_-_Leipoldt's_grave,18.98333333,-32.13333333,Cedarberg,PL_1063,A2a,alternans,101,4,.,.,16,5.142857143
8/20/2011,2011,Cederberg_NR:_Pakhuis_Pass_-_Leipoldt's_grave,18.98333333,-32.13333333,Cedarberg,PL_1063,A2a,alternans,101,5,.,.,15.5,7.217391304
8/20/2011,2011,Cederberg_NR:_Pakhuis_Pass_-_Leipoldt's_grave,18.98333333,-32.13333333,Cedarberg,PL_1063,A2a,alternans,101,6,.,.,24,8.090909091
8/20/2011,2011,Cederberg_NR:_Pakhuis_Pass_-_Leipoldt's_grave,18.98333333,-32.13333333,Cedarberg,PL_1063,A2a,alternans,101,7,.,.,6,9.75
8/20/2011,2011,Cederberg_NR:_Pakhuis_Pass_-_Leipoldt's_grave,18.98333333,-32.13333333,Cedarberg,PL_1063,A2a,alternans,101,8,.,.,7,5.166666667
8/10/2011,2011,Kogelberg_NR:_Palmiet_trail_1,18.96358,-34.31865,Kogelberg,PL_1050,A1,althaeoides,76,1,0.004744958,325.1548396,1.266666667,6.6
8/10/2011,2011,Kogelberg_NR:_Palmiet_trail_3,18.94836,-34.31643,Kogelberg,PL_1053,A1,althaeoides,79,1,0.005719733,549.7787144,1.5,6.25
8/10/2011,2011,Kogelberg_NR:_Palmiet_trail_1,18.96358,-34.31865,Kogelberg,PL_1050,A1,althaeoides,76,2,0.004555315,412.3340358,1.464285714,6.451612903
8/10/2011,2011,Kogelberg_NR:_Palmiet_trail_3,18.94836,-34.31643,Kogelberg,PL_1053,A1,althaeoides,79,2,0.004761905,596.117206,1.384615385,5.24
8/10/2011,2011,Kogelberg_NR:_Palmiet_trail_1,18.96358,-34.31865,Kogelberg,PL_1050,A1,althaeoides,76,3,0.005359318,451.603944,1.233333333,5.962962963
8/10/2011,2011,Kogelberg_NR:_Palmiet_trail_3,18.94836,-34.31643,Kogelberg,PL_1053,A1,althaeoides,79,3,0.004062127,226.1946711,1.461538462,6.125
8/10/2011,2011,Kogelberg_NR:_Palmiet_trail_1,18.96358,-34.31865,Kogelberg,PL_1050,A1,althaeoides,76,4,0.005745554,683.2964022,1.461538462,5.076923077
8/10/2011,2011,Kogelberg_NR:_Palmiet_trail_3,18.94836,-34.31643,Kogelberg,PL_1053,A1,althaeoides,79,4,0.004456825,483.8052687,1.138888889,5.133333333
8/10/2011,2011,Kogelberg_NR:_Palmiet_trail_1,18.96358,-34.31865,Kogelberg,PL_1050,A1,althaeoides,76,5,0.003991131,142.9424657,1.35,6.818181818
8/10/2011,2011,Kogelberg_NR:_Palmiet_trail_3,18.94836,-34.31643,Kogelberg,PL_1053,A1,althaeoides,79,5,0.00530303,339.2920066,1.578947368,5.0625
8/10/2011,2011,Kogelberg_NR:_Palmiet_trail_1,18.96358,-34.31865,Kogelberg,PL_1050,A1,althaeoides,76,6,0.005338078,238.7610417,1.260869565,5.842105263
8/10/2011,2011,Kogelberg_NR:_Palmiet_trail_3,18.94836,-34.31643,Kogelberg,PL_1053,A1,althaeoides,79,6,0.005188679,593.7610115,1.481481481,4.642857143
